Name;Description
VAL_23-VA-9110-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value;PH 1stStgComp Oil Mist Fan
VAL_23-VA-9110-M01:Z.Y.Value;PH 1stStgComp Oil Mist Fan
VAL_23-YZSH-92526-F:X.Value;PH 1st Stg Comp Suct BDV SOV ZSH Flt
VAL_23-YZSL-92526-F:X.Value;PH 1st Stg Comp Suct BDV SOV ZSL Flt
VAL_23_FIC_92543_01:Z.X.Value;PH 1stStgComp AntiSrg Cntrl OP
VAL_23_FIC_92543_02:Z.X.Value;PH 1stStgComp AntSrg Act CntrlMod 
VAL_23_KA_9101_M01_60A:Z.X.Value;PH 1stStg Comp Mtr Current
VAL_23_KA_9101_M01_62C:Z.X.Value;PH 1stStg Comp Mtr Current
VAL_23_PT_92531:Z.X.Value;PH 1stStgComp Suction
VAL_23_TT_92532:Z.X.Value;PH 1stStgComp Suction Temp
VAL_23_ZT_92538:Z.X.Value;PH 1stStgComp Valve Position
VAL_23_ZT_92543:Z.X.Value;PH 1stStgComp Valve Pos
