Name,Description
VAL_23-ZA-96107-02:Z.X.Value,PH 1stStg Comp Schaft Axial
VAL_23-ZA-96107-03:Z.X.Value,PH 1stStg Comp Schaft Axial
VAL_23-ZA-96121-01:Z.X.Value,PH 1stStg Gear Schaft Axial
VAL_23-ZA-96121-02:Z.X.Value,PH 1stStg Gear Schaft Axial
VAL_23-ZA-96121-03:Z.X.Value,PH 1stStg Gear Schaft Axial
VAL_23-ZS-96142A:X.Value,PH 1stStgComp Encl Door A
VAL_23-ZS-96142B:X.Value,PH 1stStgComp Encl Door B
VAL_23_FIC_92543_01:Z.X.Value,PH 1stStgComp AntiSrg Cntrl OP
VAL_23_FIC_92543_02:Z.X.Value,PH 1stStgComp AntSrg Act CntrlMod 
VAL_23_FIC_92543_03:Z.X.Value,PH 1stStgComp First AntSrgStat
VAL_23_FIC_92543_04:Z.X.Value,PH 1stStgComp First AntSrg Dev
VAL_23_FIC_92543_05:Z.X.Value,PH 1stStgComp First AntSrg CountTot
VAL_23_FIC_92543_06:Z.X.Value,PH 1stStgComp AntSrg Limit 1 PV
VAL_23_FIC_92543_07:Z.X.Value,PH 1stStgComp AntSrg Limit 1 SP
VAL_23_FIC_92543_08:Z.X.Value,PH 1stStgComp AntSrg Limit 2 PV
VAL_23_FIC_92543_09:Z.X.Value,PH 1stStgComp AntSrg Limit 2 SP
VAL_23_FIC_92543_11:Z.X.Value,PH Surge Counter
VAL_23_FT_92537_02:Z.X.Value,PH 1stStgComp Discharge
VAL_23_FT_92537_03:Z.X.Value,PH 1stStgComp Flow
VAL_23_KA_9101_M01_60A:Z.X.Value,PH 1stStg Comp Mtr Current
VAL_23_KA_9101_M01_62C:Z.X.Value,PH 1stStg Comp Mtr Current
VAL_23_PIC_92538_01:Z.X.Value,PH 1stStgComp STV Perf OP 
VAL_23_PIC_92538_02:Z.X.Value,PH 1stStgComp STV Perf Act CtrlMod
VAL_23_PIC_92538_03:Z.X.Value,PH 1stStgComp STV Perf State
VAL_23_PIC_92538_04:Z.X.Value,PH 1stStgComp STV Perf Prim PV
VAL_23_PIC_92538_05:Z.X.Value,PH 1stStgComp STV Perf Prim SP
VAL_23_PIC_92538_06:Z.X.Value,PH 1stStgComp STV Perf Limit 1 PV
VAL_23_PIC_92538_07:Z.X.Value,PH 1stStgComp Perf Limit 1 SP
VAL_23_PIC_92538_08:Z.X.Value,PH 1stStgComp STV Perf Limit 2 PV
VAL_23_PIC_92538_09:Z.X.Value,PH 1stStgComp STV Perf Limit 2 SP
VAL_23_PIC_92538_12:Z.X.Value,PH Limit Loop 3 Process Variable
VAL_23_PIC_92538_13:Z.X.Value,PH Limit Loop 3 Set Point
VAL_23_PT_92531:Z.X.Value,PH 1stStgComp Suction
VAL_23_PT_92537:Z.X.Value,PH 1stStgComp Discharge
VAL_23_TT_92532:Z.X.Value,PH 1stStgComp Suction Temp
VAL_23_TT_92536:Z.X.Value,PH 1stStgComp Discharge Temp
VAL_23_TT_96101_01:Z.X.Value,PH 1stStg Comp Journ BRG DE
VAL_23_TT_96102_01:Z.X.Value,PH 1stStg Comp Journ BRG NDE
VAL_23_TT_96131_02:Z.X.Value,PH 1stStg Journ BRG NDE
VAL_23_TT_96132_02:Z.X.Value,PH 1stStg Journ BRG DE
VAL_23_YT_96133_01:Z.X.Value,PH 1stStg MtrJourn BRG NDE
VAL_23_YT_96133_02:Z.X.Value,PH 1stStg MtrJourn BRG NDE
VAL_23_YT_96134_01:Z.X.Value,PH 1stStg Mtr Journ BRG DE
VAL_23_YT_96134_02:Z.X.Value,PH 1stStg Mtr Journ BRG DE
VAL_23_ZT_92538:Z.X.Value,PH 1stStgComp Valve Position
VAL_23_ZT_92543:Z.X.Value,PH 1stStgComp Valve Pos
VAL_45-FT-92139A:X.Value,PH 1stStg Mtr Cooler CW
VAL_45-FT-92139B:X.Value,PH 1stStg LO Cooler CW
VAL_45-FT-92506:X.Value,PH 1stStgSuctCool CoolMed In
VAL_45-FT-92606:X.Value,PH 1stStgDiscCool CoolMed In
VAL_45-PDT-92506:X.Value,PH 1stStgSuctCool Shell
VAL_45-PDT-92606:X.Value,PH 1stStgDiscCool CM
VAL_45-PT-92508:X.Value,PH 1stStgSuctCool CoolMed Out
VAL_45-PT-92608:X.Value,PH 1stStgDiscCool CM Out
VAL_45-PT-92609:X.Value,PH 1stStgDiscCool CM Out
VAL_45-TT-92506:X.Value,PH 1stStgSuctClr CoolMed Sply
VAL_45-TT-92508:X.Value,PH 1stStgSuctClr CoolMed Out
VAL_45-TT-92606:X.Value,PH 1stStgDiscClr CoolMed Sply
VAL_45-TT-92607A:X.Value,PH 1stStgDiscClr CoolMed Out
VAL_45-TT-92607B:X.Value,PH 1stStgDiscClr CoolMed Out
